VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,QuantityBin,VolumeCat,PurchaseVolumeCategory
1128,BROWN-FORMAN CORP          ,1233,Jack Daniels No 7 Black,26.27,1750.0,36.99,145080,3811251.600000111,344712.219999998,64889.96999999882,9578.0,17598.140000000163,68601.68000000001,-3466539.380000113,-1005.6328667432019,0.0660187482768128,0.09044593644775065,26.270000000000763,"(18475.85, 337660.0]",Large,Large
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,1750.0,28.99,164038,3804041.2199999536,275162.9700000001,52289.49999999943,9203.0,16909.120000000148,144929.24,-3528878.2499999534,-1282.4684404300303,0.05610285421670588,0.07233438180251986,23.189999999999717,"(18475.85, 337660.0]",Large,Large
17035,PERNOD RICARD USA          ,8068,Absolut 80 Proof,18.24,1750.0,24.99,187407,3418303.680000034,288135.1100000002,48202.29999999966,11189.0,20557.969999999994,123780.21999999997,-3130168.570000034,-1086.3544432332565,0.05970427998954148,0.08429184091683667,18.240000000000183,"(18475.85, 337660.0]",Large,Large
3960,DIAGEO NORTH AMERICA INC   ,4261,Capt Morgan Spiced Rum,16.17,1750.0,22.99,201682,3261197.94000002,444810.74,43304.31000000008,20226.0,37163.75999999982,257032.07000000007,-2816387.2000000197,-633.1652873309713,0.10028658977995061,0.1363948917495015,16.170000000000098,"(18475.85, 337660.0]",Large,Large
3960,DIAGEO NORTH AMERICA INC   ,3545,Ketel One Vodka,21.89,1750.0,29.99,138109,3023206.0099999965,357759.16999999696,52774.50999999941,11883.0,21833.5799999998,257032.07000000007,-2665446.8399999994,-745.0394185563496,0.08604073594045283,0.11833767491087958,21.889999999999976,"(18475.85, 337660.0]",Large,Large
480,BACARDI USA INC            ,3858,Grey Goose Vodka,17.77,750.0,23.99,138809,2466635.930000039,225014.22000000082,42290.38000000016,9378.0,7383.68999999992,89286.26999999999,-2241621.710000038,-996.213354871541,0.06756046077703895,0.09122311779509239,17.77000000000028,"(18475.85, 337660.0]",Large,Large
17035,PERNOD RICARD USA          ,2589,Jameson Irish Whiskey,30.76,1750.0,39.99,70783,2177285.0800000825,191669.5100000006,58509.92999999929,4649.0,8542.120000000114,123780.21999999997,-1985615.5700000818,-1035.9579726582886,0.06567961233629543,0.08803142581585749,30.760000000001167,"(18475.85, 337660.0]",Large,Large
3960,DIAGEO NORTH AMERICA INC   ,3102,Smirnoff Traveler,12.94,1750.0,17.99,161386,2088334.8399999859,119759.4300000004,25329.920000000624,6657.0,12231.190000000155,257032.07000000007,-1968575.4099999855,-1643.7748659959211,0.04124893113405128,0.05734685248080294,12.939999999999912,"(18475.85, 337660.0]",Large,Large
3960,DIAGEO NORTH AMERICA INC   ,3489,Tanqueray,20.73,1750.0,27.99,91835,1903739.5499999446,137024.81000000087,50182.06999999959,4119.0,7567.910000000116,257032.07000000007,-1766714.7399999439,-1289.3393101584543,0.044852180541188,0.07197665773136082,20.729999999999396,"(18475.85, 337660.0]",Large,Large
12546,JIM BEAM BRANDS COMPANY    ,1376,Jim Beam,16.29,1750.0,21.99,108866,1773427.139999997,169922.380000001,42670.59000000018,7362.0,13526.090000000231,123880.96999999999,-1603504.759999996,-943.6689622638211,0.0676244190105267,0.09581582246451989,16.289999999999974,"(18475.85, 337660.0]",Large,Large
17035,PERNOD RICARD USA          ,2585,Jameson Irish Whiskey,16.42,750.0,22.99,93205,1530426.1000000215,164426.60000000056,41271.65000000023,6940.0,5463.779999999949,123780.21999999997,-1365999.500000021,-830.7655209072111,0.07445952470361032,0.10743844475731187,16.42000000000023,"(18475.85, 337660.0]",Large,Large
3960,DIAGEO NORTH AMERICA INC   ,2757,Johnnie Walker Red Label,22.38,1750.0,29.99,66942,1498161.9600000305,155678.0900000002,44085.3,5191.0,9537.610000000126,257032.07000000007,-1342483.8700000304,-862.3460565324438,0.07754474022287951,0.10391272382860198,22.380000000000454,"(18475.85, 337660.0]",Large,Large
480,BACARDI USA INC            ,2663,Dewars White Label,21.42,1750.0,29.99,69001,1478001.420000022,112120.1600000011,47757.69999999982,2984.0,5482.760000000084,89286.26999999999,-1365881.260000021,-1218.2298526866243,0.04324575006159331,0.07585930465479487,21.420000000000318,"(18475.85, 337660.0]",Large,Large
10000,MAJESTIC FINE WINES        ,6570,Kendall Jackson Chard Vt RSV,6.77,750.0,10.99,215668,1460072.3599999887,109159.42000000051,18038.45000000003,8274.0,929.120000000009,17587.59,-1350912.9399999883,-1237.5596535782088,0.038364523248697074,0.0747630206491967,6.769999999999947,"(18475.85, 337660.0]",Large,Large
9165,ULTRA BEVERAGE COMPANY LLP ,3650,Patron Silver Tequila,33.81,750.0,48.99,42951,1452173.3099999838,140806.71000000084,57238.499999999454,2829.0,2227.5699999999847,68054.70000000003,-1311366.5999999829,-931.3239404570812,0.06586575399874275,0.09696274475668638,33.80999999999962,"(18475.85, 337660.0]",Large,Large
